Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Antigua and Barbuda,ATG,5.2088948949001
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Argentina,ARG,6.21245052686423
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Aruba,ABW,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,"Bahamas, The",BHS,12.4535254221082
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Barbados,BRB,4.8417071329335
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Belize,BLZ,18.8572010861558
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Bermuda,BMU,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Bolivia,BOL,8.87878422709081
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Brazil,BRA,12.4539423731105
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,British Virgin Islands,VGB,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Canada,CAN,5.77819938098487
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Cayman Islands,CYM,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Chile,CHL,7.80545651380818
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Colombia,COL,16.2213304413647
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Costa Rica,CRI,11.596610408711
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Cuba,CUB,7.89808301098523
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Curacao,CUW,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Dominica,DMA,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Dominican Republic,DOM,11.8261360981609
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Ecuador,ECU,12.7684668395987
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,El Salvador,SLV,19.6990107417261
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Grenada,GRD,5.67778862182118
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Guatemala,GTM,15.2702954374445
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Guyana,GUY,13.9410906888694
